,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
44,8/31/2022,Arsenal,2,1,22,9,10,10,2,0,W,2.285714286,1,16.71428571,5.714285714,9,6.714285714,1.142857143,0,8/31/2022,Aston Villa,1,0,4,3,14,3,3,0,L,1.428571429,0.857142857,10.42857143,4.142857143,11.71428571,3.857142857,1.857142857,0
45,8/31/2022,Bournemouth,0,0,5,2,12,2,2,0,D,0.285714286,0,7,1.571428571,9.285714286,2.285714286,2,0,8/31/2022,Wolves,0,0,17,4,12,5,1,0,D,0.714285714,0.571428571,11.14285714,3,11,3.857142857,1.714285714,0
46,8/31/2022,Man City,6,3,17,9,9,10,0,0,W,3.142857143,1.571428571,19.42857143,6.714285714,9.714285714,7.714285714,1.142857143,0,8/31/2022,Nott'm Forest,0,0,8,1,7,1,1,0,L,0.571428571,0.285714286,10,2.714285714,9.285714286,2.571428571,2.571428571,0
47,8/31/2022,West Ham,1,0,14,4,10,3,2,0,D,1,0.142857143,12.42857143,3,10.28571429,5.428571429,1,0,8/31/2022,Tottenham,1,1,13,4,9,4,5,0,D,1.571428571,0.428571429,12.57142857,4.571428571,12.28571429,4.285714286,2,0.142857143
48,8/31/2022,Liverpool,2,0,23,6,9,13,0,0,W,2.142857143,0.714285714,18.85714286,5.857142857,9,6.857142857,1.571428571,0.142857143,8/31/2022,Newcastle,1,1,5,2,10,0,2,0,L,1,0.714285714,11.28571429,4,9.285714286,5.285714286,2.285714286,0.142857143
49,9/1/2022,Leicester,0,0,10,2,7,1,1,0,L,1.428571429,0.571428571,9,2.857142857,9.142857143,3.428571429,1.142857143,0,9/1/2022,Man United,1,1,9,2,15,3,3,0,W,1.285714286,0.428571429,14.57142857,4.714285714,11.14285714,4.428571429,2.714285714,0.142857143
50,9/3/2022,Everton,0,0,14,3,7,7,2,0,D,0.714285714,0.285714286,12,4.285714286,8.428571429,5.285714286,2.428571429,0,9/3/2022,Liverpool,0,0,23,8,11,9,2,0,D,2.428571429,0.714285714,18.85714286,6.428571429,8.857142857,7.285714286,1,0.142857143
51,9/3/2022,Brentford,5,2,14,8,8,2,2,0,W,2.142857143,1,11.57142857,4.714285714,7.428571429,5.142857143,1.142857143,0,9/3/2022,Leeds,2,1,17,6,9,6,2,0,L,1.714285714,0.714285714,12.28571429,4.285714286,12.14285714,5.571428571,2.285714286,0
52,9/3/2022,Chelsea,2,0,8,3,6,10,4,0,W,1.142857143,0.428571429,11.71428571,3.571428571,11,7.428571429,1.857142857,0.285714286,9/3/2022,West Ham,1,0,6,3,11,3,2,0,L,0.428571429,0,11.28571429,3.142857143,10.14285714,5,1.142857143,0
53,9/3/2022,Newcastle,0,0,23,6,19,13,2,0,D,1.142857143,0.428571429,15.42857143,5.428571429,11.28571429,7.571428571,2,0,9/3/2022,Crystal Palace,0,0,19,9,12,5,1,0,D,1.142857143,0.571428571,11.14285714,4.571428571,11.42857143,3.428571429,1.857142857,0
54,9/3/2022,Nott'm Forest,2,2,11,3,13,4,2,0,L,0.857142857,0.571428571,11.28571429,2.714285714,10.71428571,3.142857143,2.857142857,0,9/3/2022,Bournemouth,3,0,8,3,10,6,1,0,W,0.857142857,0.142857143,6.285714286,2.142857143,11,2.714285714,2,0
55,9/3/2022,Tottenham,2,1,23,10,9,10,3,0,W,2.571428571,1,15.57142857,7,10,6.285714286,2.142857143,0,9/3/2022,Fulham,1,0,9,3,6,3,4,0,L,1.714285714,0.428571429,11.57142857,4.428571429,10.14285714,4.428571429,3,0
56,9/3/2022,Wolves,1,1,7,2,10,5,4,0,W,0.428571429,0.428571429,11.71428571,3,9,4.857142857,2,0.142857143,9/3/2022,Southampton,0,0,12,1,14,6,2,0,L,1,0.428571429,11.14285714,3.285714286,11,4,1.285714286,0
57,9/3/2022,Aston Villa,1,0,3,1,7,1,2,0,D,0.857142857,0.428571429,9.571428571,3,11.85714286,3.571428571,2.571428571,0,9/3/2022,Man City,1,0,13,4,6,4,0,0,D,3.285714286,1.428571429,16.85714286,6.285714286,8.285714286,6.714285714,0.714285714,0
